Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Bathignathus,watsoni,Bathignathus watsoni,Haughton,1925,Haughton (1925),NHMUK,R.3589,NHMUK R.3589,Holotype,South Africa,South Africa,Valid,precise locality not confidently known; based on Watson (1956) supposition
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchoides,impressus,Batrachosuchoides impressus,"Novikov, Shishkin",1994,"Novikov, Shishkin (1994)",PIN,4370/1,PIN 4370/1,Holotype,Russia,Russia,Disputed (species),non-Russian workers regard it as synonymous with B. lacer
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Tupilakosauridae,N/A,Tupilakosauridae,Batrachosuchoides,lacer,Batrachosuchoides lacer,Shishkin,1966,Shishkin (1966),PIN,953/2,PIN 953/2,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Tupilakosauridae,N/A,Tupilakosauridae,Batrachosuchoides,ochevi,Batrachosuchoides ochevi,"Novikov, Shishkin",2018,"Novikov, Shishkin (2018)",PIN,1043/653,PIN 1043/653,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchus,browni,Batrachosuchus browni,Broom,1903,Broom (1903),SAM-PK,5868,SAM-PK-5868,Holotype,South Africa,South Africa,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchus,concordi,Batrachosuchus concordi,Chernin,1977,Chernin (1977),BP,1/F3728,BP F.21775,Holotype,South Africa,Zambia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Batrachosuchus,henwoodi,Batrachosuchus henwoodi,Cosgriff,1969,Cosgriff (1969),WAM,62.1.42,WAM 62.1.42,Holotype,Australia,Australia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Batrachosuchus,watsoni,Batrachosuchus watsoni,Haughton,1925,Haughton (1925),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,Thoosuchinae,Trematosauroidea,Benthosphenus,lozovskii,Benthosphenus lozovskii,"Shishkin, Lozovsky",1979,"Shishkin, Lozovsky (1979)",PIN,3785/1,PIN 3785/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,bashkiricus,Benthosuchus bashkiricus,Ochev,1972,Ochev (1972),PIN,4168/1,PIN 4168/1,Holotype,Russia,Rusi,Disputed (species),
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,bystrowi,Benthosuchus bystrowi,Getmanov,1989,Getmanov (1989),PIN,3783/1,PIN 3783/1,Holotype,Russia,Russia,Valid,holotype stolen
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,gusevae,Benthosuchus gusevae,Novikov,2012b,Novikov (2012b),SOIKM,KMK KP-23420,SOIKM KMK KP-23420,Holotype,Russia,Rus,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,korobkovi,Benthosuchus korobkovi,Ivakhnenko,1972,Ivakhnenko (1972),PIN,3200/1,PIN 3200/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Benthosuchidae,Benthosuchinae,Benthosuchidae,Benthosuchus,lukyanovi,Benthosuchus lukyanovi,Morkovin,2020,Morkovin (2020),PIN,5618/1,PIN 5618/1,Holotype,Russia,Russia,Valid,
